keyword,source,author,title,description,content,publishedAt,url
usaid funding,NPR,Melody Schreiber,He led George W. Bush's PEPFAR program to stop AIDS. Now he fears for its future,"Dr. Mark Dybul was an architect of PEPFAR, a program credited with saving 26 million lives. Now its future could be in jeopardy as Congress reviews the Trump administration's funding rescission memo.","About two decades ago, Namibia was one of the hardest-hit countries in the HIV/AIDS epidemic. More than one in three adults tested positive for HIV.
Dr. Mark Dybul remembers visiting a clinic in rur… [+5073 chars]",2025-06-06T20:14:17Z,https://www.npr.org/sections/goats-and-soda/2025/06/06/g-s1-70995/hiv-aids-pepfar-bush
usaid funding,Business Insider,John L. Dorman,Trump wants Congress to approve $9 billion in DOGE cuts — including more than $1 billion in cuts to PBS,An OMB spokesperson confirmed to Business Insider that the package will include $1.1 billion in cuts to the Corporation for Public Broadcasting.,"President Donald Trump wants Congress to approve a series of DOGE's cuts.Anna Moneymaker/Getty Images
<ul><li>The Trump administration is aiming for Congress to push through billions in DOGE spendin… [+2701 chars]",2025-05-28T20:52:22Z,https://www.businessinsider.com/trump-congress-doge-spending-cuts-pbs-npr-rescissions-2025-5
usaid funding,Time,Sam Jacobs,How We Chose the TIME100 Most Influential People in Philanthropy 2025,"The new leaders in philanthropy, many of whom are accustomed to great success in their own fields, are eager to see impact and see it now.","In May, partners of the Gates Foundation gathered in Manhattan to announce that the organization would spend $200 billion over the next 20 years and then close its doors in 2045. Supporters, includin… [+3687 chars]",2025-05-20T11:30:05Z,https://time.com/7286605/how-we-chose-time100-philanthropy-2025/
usaid funding,Grist,"Graham Lee Brewer, The Associated Press",Cuts to USAID severed longstanding American support for Indigenous peoples around the world,"Without U.S. funding, Indigenous communities in Peru and elsewhere face increasing threats to their land, livelihoods, and human rights.","This story was published in partnership with The Associated Press.
Miguel Guimaraes Vásquez fought for years to protect his homeland in the Peruvian Amazon from deforestation related to the cocaine … [+7870 chars]",2025-06-04T14:00:00Z,http://grist.org/indigenous/cuts-to-usaid-severed-longstanding-american-support-for-indigenous-people-in-the-amazon/
usaid funding,Business Insider,Dan DeFrancesco,Google Search's AI era comes into focus,"Google Search is getting an AI-powered makeover, and the tech giant is launching a new tool for Hollywood.","Justin Sullivan/Getty
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Good morning! We … [+7382 chars]",2025-05-21T13:15:14Z,https://www.businessinsider.com/google-search-ai-mode-era-rivals-openai-anthropic-hollywood-2025-5
usaid funding,Forbes,"Kelly Phillips Erb, Forbes Staff, 
 Kelly Phillips Erb, Forbes Staff
 https://www.forbes.com/sites/kellyphillipserb/",House Moves To Claw Back Money From Public Broadcasting And Foreign Aid,"The House is seeking to rescind $9.4 billion in funding for National Public Radio (NPR), the Public Broadcasting System (PBS), and the United States Agency for International Development (USAID) using a move known as rescission.","People participate in a rally to call on Congress to protect funding for US public broadcasters, Public Broadcasting Service (PBS) and National Public Radio (NPR), outside the NPR headquarters in Was… [+5942 chars]",2025-06-12T14:06:37Z,https://www.forbes.com/sites/kellyphillipserb/2025/06/12/house-moves-to-claw-back-money-from-public-broadcasting-and-foreign-aid/
usaid funding,Al Jazeera English,Al Jazeera,Has DOGE really saved the US government $180bn?,"Elon Musk first claimed the department would make savings of $2 trillion, but what do the figures really show?",President Donald Trump and adviser Elon Musk celebrated their efforts to slash federal spending before Musk stepped away from his White House work. Musk wore a black DOGE hat over a bruised right eye… [+11355 chars],2025-06-06T11:21:51Z,https://www.aljazeera.com/news/2025/6/6/has-doge-really-saved-the-us-government-180bn
usaid funding,Quartz India,Niamh Rowe,Elon Musk fires back at Bill Gates over claim that DOGE cuts are 'killing' poor children,Elon Musk has hit back at Bill Gates’s claim that his cuts to the U.S. foreign aid budget will kill millions of children.Read more...,"In This Story
Elon Musk has hit back at Bill Gatess claim that his cuts to the U.S. foreign aid budget will kill millions of children.
Who does Bill Gates think he is to make comments about the wel… [+2693 chars]",2025-05-21T14:35:00Z,https://qz.com/elon-musk-doge-usaid-bill-gates-hiv-aids-children-1851781687
usaid funding,Time,Luke Jorgensen / Made by History,History Shows the Danger of Trump and RFK Jr.’s Health Policies,The medical achievements of the 20th century demonstrate how global health infrastructure is key to public health.,"On May 11, 2023, President Joseph Biden ended the COVID-19 public health emergency, calling an finish to the pandemic. By the end of 2023, COVID-19 claimed the lives of over 20 million people around … [+6257 chars]",2025-06-11T18:37:04Z,https://time.com/7286403/history-trump-rfk-jr-health-policies/
usaid funding,Al Jazeera English,Usaid Siddiqui,Why has Elon Musk quit Donald Trump’s administration?,Elon Musk steps down from his government efficiency role after clashing with Trump over US federal spending policies.,"Billionaire and Tesla chief Elon Musk has stepped down from his role as head of the Department of Government Efficiency (DOGE), in which he was charged with reducing federal spending, as he nears the… [+7833 chars]",2025-05-29T16:05:32Z,https://www.aljazeera.com/news/2025/5/29/why-has-elon-musk-quit-donald-trumps-administration
